sample0,sample1,sample2,sample3,sample4
COC(=O)C1CC(OC2OC(Cc3ccc4c(c3)C=CC(C)(C)O4)C(O)C(O)C2O)C(O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C,COC(O)=C1C(C)=NC(C)=C([N+](=O)[O-])C1c1ccccc1COc1ccccc1CNC(C)(C)CC(C)(C)C,S=C(NN=Cc1ccccc1)Nc1c[nH]c2ccccc12,COc1cc(-c2nnc3n2CCCN3c2ccc([N+](=O)[O-])cc2)ccc1N1CCC(O)CC1,Nc1n2nc(-c3ccccc3F)sc2n[n+]1C(=O)c1ccc(F)cc1
CC(Oc1ccc(-c2cccs2)cc1Cl)(c1ccc(Cl)cc1)N1CCCC1,CC1CN(c2ccccc2Br)c2ccccc2N=C1S,CC(C)n1c(C#N)c(COC=O)c2c3ccccc3n(-c3ccc(C(F)(F)F)cc3)c(=O)c21,O=C(O)c1ccccc1NC(=O)c1cccc2nc3ccc4c(O)nccc4c3nc12,CCOC(=O)c1cccc(S(=O)(=O)N2CCN(CCN)CC2)c1
CCOc1ccc(CC2c3cc(OC)c(OC)cc3CCN2C(=O)NCCCc2cccnc2)cc1,CCNC(=O)N(Cc1cccc(F)c1)c1ccc(-c2ccc(-c3cccc(OC)c3)cc2)cc1,CCN(CC#CC#CC(C)(C)C)N1C(=O)C2C3CCCN3C3(C(=O)Nc4c(C)cccc43)C2C1=O,Oc1cc(-c2cc3cccc(O)c3o2)c(Br)c(O)c1O,Cc1ccccc1NC(=O)Nc1ccc(CNC(=O)CNCC(C)(C)C)c2ccccc12
O=C(NNc1cccc2ccccc12)n1cccc1,NC(=O)c1c(C(=O)O)n(-c2nc3ccccc3[nH]2)c2ccc(Cl)cc12,O=C(NCCc1noc(-c2ccc(C(F)(F)F)cc2)c1Cl)OCCO,Cc1ccccc1CC(C1CCCC1)N(CC1CCCO1)C1CCS(=O)(=O)CC1,CCn1c(N)c(N(CCC(C)C)C(=O)CSc2ccccc2O)c(=O)[nH]c1=O
CN1CCN(Cc2ccc(C(F)(F)F)cc2-c2cccc3cc(N4C=NC5C(c6cccc(C(=O)O)c6)=NC=NC54)ccc23)CC1,O=C(NC1CCCc2cccnc21)C1CCN(c2nc3c(s2)COCC3)CC1,COc1cc(CCC(O)CC(O)CC(=O)O)c2c(c1)C(O)(C(F)(F)F)c1ccccc1-2,O=C(Nc1cc(S(=O)(=O)c2ccc(F)cc2)ccc1Oc1cncc(Cl)c1)c1ccccn1,CCC(C)CC(C(=O)NCc1ccccc1)N1c2ccccc2CC1C(=O)NCC1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
CCOP(=O)(OCCC(=O)NC(CC(=O)O)C(=O)NC(C(=O)O)C(C)CC)OCc1ccccc1,O=C(c1ccco1)N1CCN(c2nc(Nc3ccc(F)cc3)c3cc(F)ccc3n2)CC1,O=c1c2c(nc3ccccn13)CCCC2,CC(C)C(O)NC(=O)CSc1nc(N2CCCC2)nc2c1c(=O)n(C)c(=O)n2C,Cn1c(CC(C#N)=C(O)OC(=O)O)nc2ccccc21
CCc1nn(Cc2ccc(-c3ccoc3)cc2)c(=NC(C)=O)s1,CC(=O)c1cc2c(nc1NCc1ccc(F)cc1)c(NC(=O)C1CC1)c(Nc1ccccc1)n2C,CN1C(CCNC(=O)COc2ccc(C#N)cc2)CC2Cn3c(nc4cc(Cl)c(Cl)cc43)C21,CCNC(=O)C(C)CC(O)C(CC(C)C)NC(=O)c1cc(OC)c(N2CCC(Cc3ccc(F)cc3)C2=O)cc1F,NC(=O)Nc1nc(Cl)c(Cl)c(Nc2ccc(Cc3ccccc3)cc2Br)n1
NC(Cc1ccccc1)C(=O)NNC(=O)N1CCCC1C(=O)C(N)Cc1nccc2ccccc12,Cc1ccc(S(=O)(=O)NNC(=O)Cn2cnc(S(N)(=O)=O)n2)cc1,COc1ccn2c(OC)c(-c3ccc(OCc4ccc5ccccc5n4)cc3)nc2c1,CC(=O)N(C)Cc1cc(C(=O)N2c3ccccc3CC2C)cc([Si](C)(C)C)c1,Cc1cccc2ccn(N3CCC(C)C(C(=O)C4OC(C)C(O)C4O)C3)c(=O)c12
O=C(Nc1ccc2c(c1)N(n1nc(-c3ccc(Cl)cc3)cc1C1CCCCC1)CC2)C(F)(F)F,CC(C)C(N)CC(CN)Nc1ccc2c(c1)nc(OCc1cccc(F)c1)n2CCN1CCCC1,O=C(c1ccoc1)N1CCC2OC(COc3ccccc3F)CCC21,Fc1ccc(-c2n(COC3CCCC3)c3ccccc3[n+]2Cc2c(F)cccc2F)cc1,Cc1c(OCCN2CCNCCC2=O)cc(Br)cc1C(=O)NC(C(=O)NCC(=O)O)C(C)C
CC1CC1N1CNC(=O)C12CCN(C(=O)Cc1nc3c(F)cccc3o1)CC2,CC(NN=C1C(=O)CC(C)(C)CC1=O)C(=O)NNC(=S)Nc1ccc(F)cc1,CC1(C)CCC(=O)N(C(=O)c2ccc3c(-c4ccc(F)cc4)c(CO)[nH]c3c2)C1,CC(C)Oc1ccc2ncnc(Nc3ccc(CO)c(Cl)c3)c2c1,Cc1cc(OCc2cccnc2)ccc1CN1CC2(C)CC1CC(C)(C)C2
CN1CCC(N2CCN(CCOc3cnccn3)C2=O)CC1,CCN(CC)S(=O)(=O)c1ccc(-c2cn(C)c3ccccc23)nc1,CC1CCCCN1S(=O)(=O)CC(=O)c1ccc(Br)cc1,O=C1NC=Cc2cc(Br)c(c(Br)c2)Oc2cc(cc(Br)c2O)CCNC(=O)C(=NO)Cc2ccc(c(Br)c2)Oc2cc(cc(Br)c2O)CC1=NO,Cc1nn(C)c(Cl)c1CNCCc1ccc(CC(C(=O)NC(=O)N(C)CC(C)C)C2CCCC2)cc1
CCOc1ccccc1OCCN1CCCC1,CCOC(=O)C12Cc3cc4ccccc4cc3C1N(SCC(=O)O)C(=O)c1cc(C3CC3)ccc12,Cc1cc(N2CCC3(CC(OCc4ccc(F)cn4)CO3)C2)c(C)c(C)n1,Cc1cc(NC(=O)C2CCOCC2F)nc(-c2c(NCCN3CCC4(CC3)C(=O)NCN4c3ccccc3)cc[nH]c2=O)c1,N#Cc1cccc(CN2CCNC(=O)CC2)c1
Cc1cc(NC(=O)c2ccc(OCCC(=O)N3CCOCC3)c(Cl)c2)c2ccccc2n1,Cc1ccc(NC(=O)C=Cc2ccccc2C(F)(F)F)cc1O,COc1cc([N+](=O)[O-])c(P(=O)(O)CCn2ccc3c4n(c(=O)c(=O)cc2-4)c2ccccc32)cc1OC,CCCCOC(=O)Nc1nc(N)c2c(ccc3[nH]ccc32)n1,O=C(NCCO)N1CCN(Cc2cc(-c3cnccn3)cc(Cl)c2O)CC1
CCOC(=O)CCNC(=S)NN=C(C)c1ccc(NC(=O)c2cccc([N+](=O)[O-])c2)cc1,Nc1ncnc2c1nnn2-c1ccc2c(c1)C=C(CSCc1ccccc1)C2,CC(C)C1CCC2(CC1)CCC1(OC2)C2CC3CC(C2)CC1C3,Cc1ccc(S(=O)(=O)NCC2CCN(c3ccnc(NC(C)C)n3)C2)cc1,CC(NCCc1ccc(C(=O)NCCCCl)cc1C(N)=O)C(=O)c1ccc(Br)cc1
O=C(CNC(=O)COCc1ccccc1)NCC(=O)OCC1OC(OC(=O)CN2CCOCC2)C(O)C1O,CCn1c(=O)c2nc(-c3cccc(C(=O)Nc4cc(C)ccc4C)c3)[nH]c2n(-c2cccs2)c1=O,O=C(CCc1cccnc1)CC(=O)CCc1ccccc1CO,O=c1[nH]c2cncnc2n1CC=Cc1ccccc1,CCOC(=O)N1CCN(C(=O)NCCc2ccccc2)CC1
N#CC1=C(c2cccc(C(F)(F)F)c2)N(c2ccc(OC(F)F)cc2C(=O)N2CCOCC2)C2=C(C(=O)CCC2)C1c1ccc(Cl)cc1,COc1ccc(C(=O)c2cc3ncccn3n2)cc1,O=C(Nc1ccc(-n2nncc2-c2cccnc2)cc1)C1CC1,COc1ccccc1N1CCN(C(c2ccccc2C(F)(F)F)C(O)c2ccccc2)CC1=O,CC(=O)N1CCCn2nc(Cc3ccoc3)cc21
COc1ccccc1CCN1Cc2c(nc(C)c(S(=O)(=O)c3cnn(C)c3)c2-c2c(F)c(C)nn2C)C1=O,COc1ccc2nc(-c3cccnc3)sc2c1,Cc1cc(=O)nc2nc(NC(=O)c3cn(-c4ccccc4C(F)(F)F)nn3)sn12,CC1OC(=O)c2[nH]cc3nc4ccccc4c-3c21,CC(C)Oc1ccc(C=C2C(=O)N(C(N)=O)C(=S)N2c2ccc(F)cc2)cc1C(C)C
CS(=O)(=O)NCCNC(=O)CSCc1nc(N)nc(NCc2ccc(Cl)cc2)n1,O=C(NC(=O)c1cccc(Cl)c1Cl)c1nn[nH]n1,CNc1ccc(-c2nc(CSCC(C)(O)C(=O)Nc3ccc(C(F)(F)F)cc3)c(C)o2)cc1,CCCC(=O)Nc1sc(Cc2ccccc2)c(C)c1CC=CCCCC(=O)O,O=C(NCCc1ccc(C(=S)c2ccccc2)cc1)c1ccc(C(F)(F)F)cc1
CCN1C(=O)CCC2N(C(=O)Cc3cccc(O)n3)CCCCC21C,NS(=O)(=O)c1ccc(CN2CCN(CCC3CCCO3)C3CS(=O)(=O)CC32)cc1,N=C(N)c1ccc2[nH]c(-c3n[nH]c4cc(C(=O)Nc5cccc(Cc6ccccc6)c5)ccc34)cc2c1,CCN=NC(C)c1ccc2c(c1)CN(C)CC2OC(F)(F)C(F)C(F)(F)F,O=c1ccn(CCCc2c(-c3ccccc3)no[n+]2[O-])c(=O)[nH]1
O=c1[nH]nc(CCCCN2c3ccccc3NS2(=O)=O)n1-c1ccccc1,COc1ccc(-c2ccc(C3CC(Cl)C(=O)N3CN3CCNCC3)cc2)cc1OC,O=C(NC1CCCCC1)C(C1CCCC1)n1c(=O)c(Cc2ccccc2)nc2ccccc21,Cc1ccc(C(C)(SCc2ccccc2)c2ccc(S(=O)(=O)c3ccccc3S(=O)(=O)c3cccs3)cc2)cc1,CCCCOc1nnc2c(n1)OC(C(=O)c1ccncc1)Nc1ccccc1-2
COc1cccc2c1Cc1c(NCc3ccnc(N4CCN(C)CC4)n3)n[nH]c1-2,CC(C)Nc1cccc(-c2nc(-c3ccccc3C(C)C)no2)c1,Cc1cc(NC(=O)c2ccccc2)n(C2COc3ccccc3O2)n1,O=C(NNC(=O)c1cc(-c2ccc(F)cc2)c[nH]1)c1cccc(C(F)(F)F)c1,CNc1ccc(C(O)=C(C#N)C2CCCO2)cc1Cl
O=c1[nH]c(-c2c[nH]c(C(F)(F)F)c2-c2ccc(Cl)cc2)nc2ccc(C(F)(F)F)cc12,COc1ccc(Br)c(C(=O)N2CCN(c3c(C)c(-c4ccccc4)nc4ccccc34)CC2)c1,CC(C)Oc1ccc(C(=O)C2(C(C)(C)Cc3nc4ccccc4[nH]3)CCN(C)CC2)cn1,COc1ccc(CNC(=O)COc2ccc(-c3nn(C)cc3C(=O)O)cn2)cc1,COc1cccc(OC)c1C1=NN(C(=O)c2cccc3ccccc23)C2CCCC12
O=CN(O)C(C=C1CCSCC1)CS(=O)(=O)c1ccc(Nc2ccc(=O)n(Cc3ccc(F)cc3)c2)cc1,CC(C)NCCCC(NC(=O)C1SC(=Nc2ccccc2)N(C)C1=O)C(=O)O,O=C(NC1N=C(Cc2ccccc2)c2ccc(Cl)cc2NC1=O)c1ccccc1,O=C(O)c1cc(N=Cc2ccc3oc(-c4ccc(Cl)cc4)cc(=O)c3c2)ccc1O,Cc1oc2ccccc2c1C(=O)Nc1cccnc1
O=C(NCC(O)CN1CCc2ccccc2C1)c1ccc(=O)oc1,COc1cccc(C2=NN(C(C)=O)C(c3ccc(Cl)c(Cl)c3)C2)c1,c1ccc2c(c1)CC1CNCc3cccc(c31)S2,CCOc1ccccc1N(Cc1cccc(-c2nn[nH]n2)c1)S(=O)(=O)c1ccc(F)cc1,C=C(COC)C(=O)NCC(N)C(=O)NC(CCCCCCCC)C(=O)O
O=C(O)C(=O)c1ccc(C2=C(CSc3cccc(Cl)c3)CC(C(=O)O)(c3ccc(-c4ccccc4)cc3)O2)cc1,C(=CN1CCN(c2ncccn2)CC1)c1ccccc1,COc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(CNC3=NCC(C)S3)cc2)c1O,CC(C)n1cc(-c2cccc(Cl)c2)c(C(=O)NC(CN2CCOCC2)C(=O)C(F)(F)C(=O)Oc2ccccc2F)n1,Cc1ccc(C)c(N2CCCC(CN)C2=O)c1
CCCOC(=O)c1cc2cccc(NC(=O)OC)c2oc1=O,O=C1OC(c2cn(-c3ccccc3)nc2-c2ccccc2)C2CCC(C(Cl)=Cc3cnco3)N12,NCC(O)=NCC1CC(CO)C(O)C1O,CC(c1ccccc1)c1ccc(NC(=O)Cc2cc(OCC(=O)O)c(O)c3ccccc23)cc1,N#CC(=N)n1cnc([N+](=O)[O-])n1
Cc1ncc(CN(CCc2ccc(-c3noc(C)n3)cc2C)S(=O)(=O)c2ccc3c(c2)CCO3)cn1,O=c1oc(-c2ccncc2)c(Nc2ccccc2)c2nn3c(CC(F)(F)F)ccnc3c12,CCc1c(C)nc2n(c1=O)CC(C(=O)Nc1ccccc1N1CCC(O)CC1)CS2,CC(=NNC(=O)C1CCC[N+]1(C)C)n1cc(Br)cn1,Brc1ccc(OCC2COCc3nc4ccccc4n32)cc1
CC12CCC3C(CCC4=C(OC5OC(C(=O)O)C(O)C(O)C5O)CCCC43C)C1CCC2=O,CN(Cc1cccc(-c2ccsc2)c1)C(=O)C(=O)N1CCCC1,CC(C)(Cn1nnc(-c2ncccc2NC(=O)C(C)(C)C#N)n1)NC1C(O)C(O)C(O)C(O)C1O,CC1(OC(=O)c2ccccn2)Cc2c(-c3ccc(NS(C)(=O)=O)c(C(F)(F)F)c3)ccnc2O1,Cc1cccc(OC(=O)CC(CCC(=O)O)Oc2ccc(C(C)c3ccc(Oc4ncccc4Br)cc3)cc2)c1
Cc1ccc(C=CC(=O)c2cccs2)cc1,Nc1ccccc1Oc1ccc(CNc2c(Nc3ccccn3)c(=O)c2=O)cc1,O=C1Cc2cc(Nc3cc(-c4ccc(C(F)(F)F)cc4)nc4ccnn34)ccc2N1,Cc1noc([N+](=O)[O-])c1N1C(=O)C(=O)C(C(=O)OCCc2ccccc2)C1=O,Cc1cc2[nH]c(C(O)CBr)c(C(=O)c3ccc(=N)[nH]c3)c2cc1C(N)=O
Cc1ccc(SCC(=O)Nc2ccccc2S(=O)(=O)c2ccccc2)cc1,Nc1nccn2c(-c3ccncc3)nc(-c3ccc(C4CCCCC4)cc3)c12,CCNC1C(=O)N(C(=O)CCC(NC(=O)C(CC(N)=O)NC(=O)OCc2ccccc2)C(=O)O)C1Cc1ccccc1,C=C1C(=O)C23CCC(CC)C(C)(CC(C)=O)C2CCC1C3,CC1OC(N2CCCCS2(=O)=O)CC1O
Cc1cc(CNC(=O)CCC2N=C3c4ccccc4N=C(SCC(=O)N4CCCC4)N3C2=O)no1,CN(C(=O)Nc1ccccc1)C(=O)c1cc2c(ccc3ccccc32)oc1=O,COc1ccc(CCNC(=O)Cn2ncc3c4ccccc4n(C)c3c2=O)cc1OC,CC(=O)OCC1C(n2nc(CCO)c(=S)[nH]c2=S)C(=O)N1[N+](=O)[O-],COc1cc(Nc2nccc3c(CC4COC(=O)N4)n[nH]c23)cc(OC)c1OC
COc1cccc(NC(=O)c2c(C3CCCCC3)nnc3ccccc23)c1,CCCCCCNc1ccc(C=O)cc1,CCN1CCN(c2ccc(S(=O)(=O)NCCc3ccc4ccccc4n3)cc2N2CCCC(O)C2)CC1,CC1=C(CC2CCC[N+]2(C)C)C(=O)C2(C)CCCC2(C)C1,CC1=NC2(N=C1N)c1cc(Nc3nc(N)nc4c3CCCC4)ccc1CC21CCOCC1
OC1CCN(C=Cc2ccccc2)CC1c1ccccc1,Cc1nc(SCCN2C(=O)c3cccc4c(C(=O)O)ccc(c34)C2=O)c2ccccc2n1,Nc1ncnc2c1ncn2C1CCC(Cn2cc(CO)nn2)O1,CCCCC1(c2ccc([N+](=O)[O-])cc2)CC([Si](C)(C)C)=C(c2ccccc2)O1,O=C(C=Cc1cc[n+](C=Cc2c(Cl)cccc2Cl)cc1)c1ccc2c(c1)OCO2
O=C(O)Cn1c2ccc(F)cc2c2nc3n(c(=O)c21)CCS3,CCS(=O)(=O)c1ccc2c(c1)nc(C=CC(=O)NO)n2CC(=O)NCC1CN(Cc2ccccc2)C(=O)O1,CN1C(=O)C2(CCN(CCCC3CCCCC3)CC2)c2cc(C#N)ccc21,COc1ccc(Oc2cc(N3CCN(CCc4ccccc4O)C(=O)C3)ncn2)cc1,CC(C)CC1C(=O)N(C(C)C)CCN1S(=O)(=O)CNC(=O)C1CC1
CONC(=O)c1nc2ccc3ncnc(NC(=O)Oc4ccc(C)c(C)c4)c3c2s1,COc1ccc2cnn(C)c2c1,CCn1nc(-c2cc(C)c(C)cc2C)oc2c3ccccc3c(=O)c1=2,CC1=C(C(=O)Nc2ccccc2)C(c2ccc(C)cc2)n2nc(-c3ccc(C)cc3)nc2N1,COc1cc(COc2c(-c3ccccc3)c3cnccc3n2-c2cccnc2)ccc1Cl
CCCCc1nc2c(N)ncnc2n1CCCC(=O)OCC(=O)Nc1ccc2c(c1)C(O)N=NC2O,CNC(=O)CCCOc1c(C)cc(OCCC(CCOC(=O)c2c(Cl)nc(C(C)C)n2Cc2c(OC)ccc3ccccc23)CN2CCCCC2)cc1C,CCCCCCCCCCCCCCCCCNOC(=O)Cc1noc(COc2ccc(C(=O)c3ccc(O)cc3)c3ccccc23)n1,O=C(NCCCc1ccccc1)NN1c2ccc(O)cc2CCC1c1cccc(Cl)c1,Cc1nc2ccc(N3CCC(CNc4ccc(F)cn4)CC3)cc2n1S(=O)(=O)c1ccccc1F
Cc1ccnc(-c2ccccc2Oc2cc(F)c(NC(N)=NC#N)cc2F)n1,O=C(Cl)NC(NC12CC3CC(CC(C3)C1)C2)(C(F)(F)F)C(F)(F)F,CCCc1cccnc1C(=O)N1CCC(n2c([S+](O)Cc3ccc(O)cc3)nc3ccccc32)CC1,CC1CN(c2ncc3cc(Cc4ccc(S(C)(=O)=O)cc4)c(N(Cc4ccn(C)n4)CC4(C)COC4)nc3n2)C1,CCC1OC2(C)CC(C3=CCC(C(=O)O)CC3)CC1O2
COc1ccc(N2CCN(C(=O)NCC3CC3C(=O)O)CC2)cc1,C1=CC2(Cc3ccccc3C2)c2ccccc21,O=C(CC(=O)c1ccc2cccc(F)c2n1)C(=O)Nc1nccs1,CC(C)Oc1ccc(C(=O)c2cccc3c2NC(N(C)C)C2CC=CC32)cc1,CC1(Cn2cc(NC(=O)C3CCC(=O)CC3)c(-c3ccc(F)cc3)n2)CCCCC1
COCC(=O)Nc1nc2ccccc2n1Cc1ccccc1Cl,O=c1oc2ccc(-c3cccc(Cl)c3)cc2c(=O)n1-c1c(O)cccc1Br,Cc1nn(C)c(C)c1NC(=O)COC(=O)CCNCc1ccc(Cl)cc1,O=C(Nc1ccc(CC(=O)N2CCN(c3cccc(Cl)c3)CC2)cc1)c1ccccc1,O=C(NCc1ccc(N2CCS(=O)(=O)CC2)cc1)c1ccc(I)cc1
COCCCOC(=O)c1cc(C(C)OC(=O)C2(OC)CCC2)[nH]c1-c1ccc(OC)cc1,CCCc1nnc(CNC(=O)c2ccc3ncn(C(=O)c4cc(F)ccc4C)c(=O)c3c2)[nH]1,COCC(C)n1cc(CNc2ccc(C(N)=O)cn2)c2cc(OCCO)ccc21,COC(=O)c1c(C=O)c(C=NO)cn1C,CC1Sc2ccc(S(=O)(=O)NCc3ccc(F)cc3F)cc2NC1=O
O=P(Oc1ccc(Br)cc1)(C(=S)Nc1ccccc1)c1ccccc1,COc1ccc(NC(=O)CSc2ccc3c(c2)[nH]c2ccccc23)cc1,Cc1cc(C)cc(-c2c[nH]c(=O)n2CC(O)CN2CCCC(C)C2)c1,CNC(=O)NC(CNc1ccccc1OC)C(=O)O,CC1(C)CCC(C)(C)c2cc(Nc3ncc4c(=O)c(C(=O)O)cn(Cc5cc(F)cc(F)c5)c4n3)ccc21
Cc1cccc(C)c1NCc1c(N)ncnc1Nc1ccc(C(=O)NCCCN2CCOCC2)cc1,CC(C)=CC(O)CC(C)=CCCC(C)=CCNC(=S)NNC(=O)c1cccc(C)c1,CC(C)(CCO)c1ccc(-n2ncc3ccc(NC(=O)c4ccns4)cc32)cc1,Cn1c(N)c(C(=O)CNC2CCCc3cc(N4CC(CNc5cc(=O)c6ccccc6[nH]5)OC4=O)ccc32)c(=O)n(CCCc2ccccc2)c1=O,O=C(CCSc1nc2ccc(Cl)cc2o1)Nc1ccccc1OCc1ccccn1
O=C1C=C(C(=O)n2cc[n+](CC(=O)C3CC3)c2)c2ccccc2C1=O,O=C(c1cccnc1)c1ccc(Oc2cccc3[nH]c(=O)[nH]c23)s1,Cn1nccc1SCC(=O)Nc1sc2c(c1C(N)=O)CCC2,Cc1cc(NCCN(CCO)C(C)C)c2nc3ccccc3c(N)c2c1,CCOc1ccccc1Cn1cnc2ccccc21
Cn1c(NC2CCCO2)nc2c(-c3ccccc3)c[nH]c2c1=O,CC(=O)Nc1ccc(C(=O)CSc2nc(=O)n(NCCC3=CCCCC3)c3c2CCC3)cc1,CCC(=O)N(CCc1c(C)n[nH]c1C)c1ccccc1,N#Cc1c(N)nc(OC2CCC(N)CC2)nc1Nc1ccc(C(=O)c2ccc(Cl)cc2)cc1,O=C(Nc1ccc(S(=O)(=O)Nc2nnc(CN3C(=O)c4ccccc4C3=O)s2)cc1)c1cccc([N+](=O)[O-])c1
N#CC(NC(=O)C1c2ccccc2Oc2ccccc21)c1ccc(C#CCn2cccn2)cc1,O=C(c1cccc(Br)c1)C1CN=C2C=CC=CN2C1,Nc1nc(NCCN(CCc2c[nH]c3ccc(Cl)cc23)CCN(CCCl)CCCl)c2ncn(CC(=O)O)c2n1,Oc1cc2ccccc2cc1O,CC1(O)CCCC2(C)C3CCC(C)(C(C)(C)C#N)C(O)C3=CCC12
O=C(Nc1cccc(Br)c1)Nc1ccc2c(c1)OCO2,Cc1cc(C)n(-c2nc3sc4c(Cl)nnnc4c3cc2N(C)C)n1,Cc1ccc(-c2noc(C=C3SC(=O)N(CCC4OCCO4)C3=O)n2)cc1,COc1cc(C)nc(NC(=O)c2cccnc2Oc2ccccc2F)n1,Cc1ccc(O)c(NC(=O)C23CC4CC(CC(C4)C2)C3)c1
Cc1cccc(N2CCN(C(=O)c3ccc(NC(=S)NC(=O)c4ccccc4)cc3)CC2)c1,COc1cc(OC(C)(C)C(=O)O)ccc1C(=O)C=Cc1ccc(F)cc1,COc1ccc(N(C)C(=O)CON=C(C)C=Cc2ccccc2)cc1,CCCc1ccc(CNC(=O)C(=Cc2ccc(-c3ccccc3)cc2)C(C)=O)cc1,CCC1(O)CCN(C(=O)c2c(F)cccc2NCc2cc(-c3ccc(NC(=O)OC)nc3N3CCOCC3)no2)CC1
CN1Cc2sccc2C(c2ccccc2)C1,CC(c1ccc(=O)[nH]c1)c1cc2ccccc2c2ccc(-c3ccccc3)cc12,CC(C)CC(Nc1ccc2c(c1)C(O)(SCC(F)(F)F)c1cccc(C#N)c1-2)C(=O)O,CCCC(=O)n1c(S)nnc1N=Cc1ccco1,CC(Cc1ccccc1)NC1CC(O)C(O)C(O)C1O
CC1C(c2ccccc2)=NN(CCc2ccccc2)C1c1ccnc2cc(Cl)ccc12,Cc1cc(C)c(NC(=O)CNc2ccc(Oc3cc(C(C)(C)C)nn3-c3ccccc3)nn2)c(C)c1,CN(C(=O)COc1nnco1)c1ccc(Br)cc1,Cc1cc(C)n2nc(SCC(=O)Nc3ccccc3Br)nc2n1,COc1ccc(NC(=O)CSc2nnc(-c3cccs3)c(-c3ccccc3)n2)cc1Cl
CCCCc1nn(C(CC)C(=O)Nc2ccc(SC)cc2)c(=O)n1Cc1c(F)cccc1F,Cc1cc(C)c2nc(Cc3ccc(N)cc3)nc(C)c2c1,COC(c1cccs1)C(C)OC1OC(=O)CC1O,COCC(=O)N(OC(C)=O)N1C(=O)NC(=O)C1(C)S(N)(=O)=O,Cc1nc(Nc2cc3cc[nH]c(=O)c3c(Nc3cccc(F)c3F)n2)c2nc(Oc3ccc(Cl)cc3)sc2n1
CC(C)(C)c1ccc(-c2c(O)cc(Cl)c3nc(O)c4sccc4c23)cc1,COc1nccn2cc(C(=O)N3CCN(c4ccccc4OC(C)(C)C)CC3)nc12,Cc1ccc(OC(=O)c2sc(N(Cc3ccccn3)Cc3cc[nH]n3)nc2C)cc1,CC(C)Cc1sc(NC(=O)c2ccc(NCc3cnc4nc(N)[nH]c(=O)c4n3)cc2)nc1C(C)C,O=C(CCC1CC(C(=O)NCCC2CCCCC2)C2(NCC3CCCCC3)c3[nH]c4ccc(Cl)cc4c3CCN2C1=O)NCc1cccs1
CCOc1cccc2c1N(C(=O)c1ccc(C(C)(C)C)cc1)C(C)(C)C(=S)C2=C1SC(NC(C)=O)=C(C(=O)C(N)C(C)CC)S1,Cc1c(F)ccc2[nH]c(CNCCCO)nc12,CCOc1ccccc1Nc1nc(C)cc(N2CCC(c3ccccc3)CC2)n1,Oc1ccc2[nH]cc(CN(CCOCc3cn(Cc4ccccc4)nn3)CC3CCNCC3)c2c1,OCC(COCc1cncs1)OC1CCCC1
NNC(=O)c1ccc(C(=O)NCCc2cccc(Cl)c2)o1,COc1ccc(C(NC(=O)N2CCc3cc(OC)c(OC)cc3C2C#N)C(C)c2ccco2)cc1OC,CC(C)(C)c1ccc(OC(Cc2ccsc2)N2CCN(c3ccccc3)CC2)cc1,CS(=O)(=O)c1ccc(NCc2ccccc2Br)c(C(F)(F)F)c1,c1ccc2c(c1)CCN2CCCOc1ccc(-c2c[nH]c3ccccc23)cc1
CC(C)CN1CCC2(C1)CN(c1cnc3ccccc3c1)C2,CC1=NOC(=O)C1=Cc1ccc2cc(OCc3ccc(F)cc3)ccc2c1,C=C(Br)Cn1nc(NC(=O)C(C)CC)cc1-c1ccc(C(F)(F)F)cc1,COc1ccc(Cc2cc3c(cc2OC)CN(C=CC(O)CC(O)CC(=O)O)C(c2ccccc2)C3)cc1,CN(C)C(=O)CCN1CCN(Cc2ccc(-n3cncn3)cc2C(F)(F)F)CC1
CC#CCOC(=O)NC(CCCO)N(C(=O)c1ccnc(N)c1)c1ccccc1C,CC(C)(C)C(N)C(=O)NC1C(c2ccco2)C1c1cccs1,CC(C#N)Oc1ccc(NC(=O)CNC(=O)CCC(O)(CC2Cc3ccccc3C2)C(=O)NCc2ccc(F)cc2)c(Cl)c1,CCC(C)(C)NC(=O)c1c(C)nn(-c2ccccc2)c1Cl,O=C(NCCc1ccc(C(F)(F)F)cc1)C(c1ccccc1)c1c(-c2ccccc2)n(-c2ccccc2)c2ccccc12
C#CCN=C(N)NC(=O)C(=O)CCCCCC,Cc1ccc(OCC(=O)Nc2ccc(N=Cc3ccccn3)cc2)cc1C,Cc1cccc(S(=O)(=O)Nc2cccc(CNC(=O)c3ccccc3Br)c2Cl)c1,Cn1c(COC2CCN(C(=O)N3CCCc4ccccc4C3)CC2)cc2ccccc21,CCCCCCNC(=O)Nc1nnc(CS(=O)(=O)Cc2sccc2C(=O)N(CC)CC)s1
CCCCCC(C=CC=CCC=CCC=CCCCC(=O)O)OCC1OC(O)C(O)C(O)C1O,O=C(O)CN1C(=O)c2cccc3nc(-c4cccc5ccccc45)cc(c23)C1=O,Cc1ccccc1-c1nnc(SCC(=O)N(C)c2ncc(-c3ccccn3)cn2)[nH]1,COc1ccc(Oc2nc3nonc3nc2OCC(=O)NC2CCCCC2)cc1,O=C(Cc1cccs1)Nc1ccc2c(c1)CCc1nnc(-c3c(Cl)cccc3Cl)n1-2
